"year","sex","age","pred_weight"
2005,"U",2,0.616244646176306
2005,"U",3,1.08346029676559
2005,"U",4,1.44136073023021
2005,"U",5,1.70917243544126
2005,"U",6,1.76693170456966
2005,"U",7,1.66759224457934
2005,"U",8,1.76485051558797
2005,"U",9,1.91422386290682
2005,"U",10,2.16690240347458
2005,"U",11,2.11627550254008
2005,"U",12,1.93916699236696
2005,"U",13,1.84240966472863
2005,"U",14,1.90761751083739
2005,"U",15,1.99538344658348
2005,"U",16,1.97621749193314
2005,"U",17,2.08156329409827
2005,"U",18,2.21334727163967
2005,"U",19,2.40403751650117
2005,"U",20,2.45987612031007
2005,"U",21,2.48902224632221
2005,"U",22,2.70579266130758
2005,"U",23,2.75809090067115
2005,"U",24,2.85364540511469
2005,"U",25,3.06090900331801
2005,"U",26,3.10888089034885
2005,"U",27,3.36487808980823
2005,"U",28,3.22474025890437
2005,"U",29,3.20325164687879
2005,"U",30,3.27302395781348
2006,"F",0,0.195131212902439
2006,"F",1,0.424911948385908
2006,"F",2,0.843883140907587
2006,"F",3,1.34273911889819
2006,"F",4,1.83618792445448
2006,"F",5,1.98614431775604
2006,"F",6,2.1059944892977
2006,"F",7,2.14052020859873
2006,"F",8,2.08946576153127
2006,"F",9,2.27559229074863
2006,"F",10,2.4482992821018
2006,"F",11,2.6737445890725
2006,"F",12,2.54390727177991
2006,"F",13,2.37588387988791
2006,"F",14,2.41992166970837
2006,"F",15,2.7380066398314
2006,"F",16,3.03806269298235
2006,"F",17,2.99121834303217
2006,"F",18,2.93768833561145
2006,"F",19,2.83033291935469
2006,"F",20,2.83618292651516
2006,"F",21,2.80401006821834
2006,"F",22,2.85240074554217
2006,"F",23,3.13555709104155
2006,"F",24,3.13454222570762
2006,"F",25,3.0423359476741
2006,"F",26,2.97956780907729
2006,"F",27,2.78793436851738
2006,"F",28,2.89104551192034
2006,"F",29,2.77721521510909
2006,"F",30,2.84096110784139
2006,"M",0,0.189189201619139
2006,"M",1,0.404219426600649
2006,"M",2,0.778221590333445
2006,"M",3,1.17771484647839
2006,"M",4,1.51015978328903
2006,"M",5,1.53366220399
2006,"M",6,1.555159535134
2006,"M",7,1.55262147727499
2006,"M",8,1.52140776157239
2006,"M",9,1.6750898035041
2006,"M",10,1.80819307709794
2006,"M",11,1.95496097822662
2006,"M",12,1.82715885856884
2006,"M",13,1.68282201960447
2006,"M",14,1.71180932960277
2006,"M",15,1.95815194785737
2006,"M",16,2.20332923614588
2006,"M",17,2.18165483789088
2006,"M",18,2.12528087113683
2006,"M",19,2.01171612646041
2006,"M",20,1.9831101533359
2006,"M",21,1.95068125647909
2006,"M",22,2.00160652786733
2006,"M",23,2.23564972125883
2006,"M",24,2.26330734462903
2006,"M",25,2.20091629950777
2006,"M",26,2.13763276269395
2006,"M",27,1.97775186266662
2006,"M",28,2.03901431439109
2006,"M",29,1.96491149442719
2006,"M",30,2.02853148212548
2006,"U",0,0.131680473629755
2006,"U",1,0.297304957898748
2006,"U",2,0.616980635435546
2006,"U",3,1.03624363621826
2006,"U",4,1.49895677087541
2006,"U",5,1.69285163675588
2006,"U",6,1.8269680931346
2006,"U",7,1.84104227114755
2006,"U",8,1.75645181188908
2006,"U",9,1.87339405176182
2006,"U",10,1.9957201707347
2006,"U",11,2.17115586497935
2006,"U",12,2.04026719527216
2006,"U",13,1.8438715766138
2006,"U",14,1.7854994413395
2006,"U",15,1.925076948658
2006,"U",16,2.09587948185634
2006,"U",17,2.12086565155386
2006,"U",18,2.23132550913991
2006,"U",19,2.33911681786493
2006,"U",20,2.50871910261094
2006,"U",21,2.5622485527454
2006,"U",22,2.61315836873553
2006,"U",23,2.86702127235914
2006,"U",24,2.92858819066803
2006,"U",25,3.00753555956419
2006,"U",26,3.1845064842068
2006,"U",27,3.19582247262964
2006,"U",28,3.43415124530413
2006,"U",29,3.28217473742916
2006,"U",30,3.25834197536025
2007,"F",0,0.182095048619841
2007,"F",1,0.414344357988062
2007,"F",2,0.82056283633001
2007,"F",3,1.36756545789216
2007,"F",4,1.7865044775553
2007,"F",5,2.10119003101272
2007,"F",6,2.12191681784649
2007,"F",7,2.25148282552157
2007,"F",8,2.34664426998838
2007,"F",9,2.30388540738204
2007,"F",10,2.43746856325501
2007,"F",11,2.50506108839765
2007,"F",12,2.65496121489611
2007,"F",13,2.54293438546895
2007,"F",14,2.46367764032737
2007,"F",15,2.60699994589616
2007,"F",16,2.98164934486487
2007,"F",17,3.22713987281135
2007,"F",18,3.04486024059668
2007,"F",19,2.90261209348208
2007,"F",20,2.80726244505184
2007,"F",21,2.90908543408959
2007,"F",22,2.98704060560847
2007,"F",23,3.08052002045428
2007,"F",24,3.31462629511611
2007,"F",25,3.17616880595417
2007,"F",26,2.978185415782
2007,"F",27,2.90508408217931
2007,"F",28,2.79322774674054
2007,"F",29,3.00865452248991
2007,"F",30,2.96124292131623
2007,"M",0,0.17655000629966
2007,"M",1,0.394166460692313
2007,"M",2,0.756715811113938
2007,"M",3,1.19948999818537
2007,"M",4,1.46929798346829
2007,"M",5,1.62249827726799
2007,"M",6,1.56691728720316
2007,"M",7,1.63310795972769
2007,"M",8,1.70866777132221
2007,"M",9,1.69591669388102
2007,"M",10,1.80019404242847
2007,"M",11,1.83162471685081
2007,"M",12,1.90692324235544
2007,"M",13,1.80114273029134
2007,"M",14,1.74276152101832
2007,"M",15,1.86445932886232
2007,"M",16,2.16241593323635
2007,"M",17,2.35372497379532
2007,"M",18,2.20281475954402
2007,"M",19,2.06309000520273
2007,"M",20,1.96288843212988
2007,"M",21,2.02377961980022
2007,"M",22,2.09608694869915
2007,"M",23,2.19640833354216
2007,"M",24,2.39333768641232
2007,"M",25,2.29773496919594
2007,"M",26,2.13664099160891
2007,"M",27,2.06085750066949
2007,"M",28,1.97002480088084
2007,"M",29,2.12865744859768
2007,"M",30,2.11441630634479
2007,"U",0,0.122883273727626
2007,"U",1,0.289910962436259
2007,"U",2,0.599930672426036
2007,"U",3,1.05540308084233
2007,"U",4,1.45839810139604
2007,"U",5,1.79090862196446
2007,"U",6,1.84078084828419
2007,"U",7,1.93648022471204
2007,"U",8,1.97264183781579
2007,"U",9,1.89668651791331
2007,"U",10,1.98689155887989
2007,"U",11,2.0341801144487
2007,"U",12,2.12933479595049
2007,"U",13,1.97351582467965
2007,"U",14,1.81778406528971
2007,"U",15,1.83296688473568
2007,"U",16,2.05696139794209
2007,"U",17,2.28814126021555
2007,"U",18,2.31272808767685
2007,"U",19,2.39885163938596
2007,"U",20,2.48313776100373
2007,"U",21,2.65826432928784
2007,"U",22,2.73650543967129
2007,"U",23,2.81669769426425
2007,"U",24,3.09683989730378
2007,"U",25,3.13983754305262
2007,"U",26,3.18302900804425
2007,"U",27,3.33011174852175
2007,"U",28,3.31795764035394
2007,"U",29,3.55569486068097
2007,"U",30,3.39629503660976
2008,"F",0,0.187292946232971
2008,"F",1,0.364198900353741
2008,"F",2,0.753668106736851
2008,"F",3,1.25251652251195
2008,"F",4,1.71382470064876
2008,"F",5,1.92556472519239
2008,"F",6,2.11440750755555
2008,"F",7,2.13670994157621
2008,"F",8,2.32488980640739
2008,"F",9,2.43712992358021
2008,"F",10,2.32440205684604
2008,"F",11,2.34908454016402
2008,"F",12,2.3429466040727
2008,"F",13,2.49975742114336
2008,"F",14,2.48370283561928
2008,"F",15,2.49993895125935
2008,"F",16,2.67404616097149
2008,"F",17,2.98320729604187
2008,"F",18,3.09416055165254
2008,"F",19,2.83371684927358
2008,"F",20,2.71169163403611
2008,"F",21,2.7121334870169
2008,"F",22,2.91893108273732
2008,"F",23,3.038508310221
2008,"F",24,3.06725372110919
2008,"F",25,3.16351450800508
2008,"F",26,2.92855879377707
2008,"F",27,2.73503553597471
2008,"F",28,2.74150041667117
2008,"F",29,2.73797543986936
2008,"F",30,3.02163935906693
2008,"M",0,0.181589620848757
2008,"M",1,0.346463005403353
2008,"M",2,0.695026081428232
2008,"M",3,1.09858071702881
2008,"M",4,1.40952301453352
2008,"M",5,1.48688381501928
2008,"M",6,1.5613720801475
2008,"M",7,1.54985770873426
2008,"M",8,1.69282764110792
2008,"M",9,1.79399952328935
2008,"M",10,1.71668869827592
2008,"M",11,1.71757939383774
2008,"M",12,1.68281905959173
2008,"M",13,1.7705607869052
2008,"M",14,1.7569269861889
2008,"M",15,1.78789205830211
2008,"M",16,1.93932932947094
2008,"M",17,2.17581195468456
2008,"M",18,2.23848124150468
2008,"M",19,2.01412132280396
2008,"M",20,1.89606360079902
2008,"M",21,1.88676496498984
2008,"M",22,2.04829265969475
2008,"M",23,2.16645401743642
2008,"M",24,2.2147214409466
2008,"M",25,2.28858047373785
2008,"M",26,2.10103734037587
2008,"M",27,1.94022559742323
2008,"M",28,1.93354223219703
2008,"M",29,1.93714890512989
2008,"M",30,2.15754117526586
2008,"U",0,0.126390973031058
2008,"U",1,0.254824885832818
2008,"U",2,0.551022534828585
