"Year","Quantity","Assessment_Year","Value"
1902,"SSB (MT)","2021",158555
1903,"SSB (MT)","2021",157920
1904,"SSB (MT)","2021",157248
1905,"SSB (MT)","2021",156537
1906,"SSB (MT)","2021",155813
1907,"SSB (MT)","2021",155069
1908,"SSB (MT)","2021",154296
1909,"SSB (MT)","2021",153534
1910,"SSB (MT)","2021",152712
1911,"SSB (MT)","2021",151831
1912,"SSB (MT)","2021",150890
1913,"SSB (MT)","2021",149890
1914,"SSB (MT)","2021",148831
1915,"SSB (MT)","2021",147715
1916,"SSB (MT)","2021",146545
1917,"SSB (MT)","2021",144861
1918,"SSB (MT)","2021",142821
1919,"SSB (MT)","2021",140221
1920,"SSB (MT)","2021",138705
1921,"SSB (MT)","2021",137334
1922,"SSB (MT)","2021",135808
1923,"SSB (MT)","2021",134441
1924,"SSB (MT)","2021",132710
1925,"SSB (MT)","2021",130764
1926,"SSB (MT)","2021",128637
1927,"SSB (MT)","2021",126714
1928,"SSB (MT)","2021",124330
1929,"SSB (MT)","2021",122070
1930,"SSB (MT)","2021",119643
1931,"SSB (MT)","2021",116972
1932,"SSB (MT)","2021",114916
1933,"SSB (MT)","2021",112733
1934,"SSB (MT)","2021",110717
1935,"SSB (MT)","2021",108134
1936,"SSB (MT)","2021",105171
1937,"SSB (MT)","2021",102708
1938,"SSB (MT)","2021",100260
1939,"SSB (MT)","2021",98068.9
1940,"SSB (MT)","2021",95759.2
1941,"SSB (MT)","2021",93820.3
1942,"SSB (MT)","2021",92209
1943,"SSB (MT)","2021",90368.4
1944,"SSB (MT)","2021",88490.8
1945,"SSB (MT)","2021",86382.8
1946,"SSB (MT)","2021",84072.2
1947,"SSB (MT)","2021",81397.8
1948,"SSB (MT)","2021",79776.1
1949,"SSB (MT)","2021",78138.8
1950,"SSB (MT)","2021",76595.5
1951,"SSB (MT)","2021",75366.8
1952,"SSB (MT)","2021",73531.2
1953,"SSB (MT)","2021",72658
1954,"SSB (MT)","2021",72562.4
1955,"SSB (MT)","2021",72539.4
1956,"SSB (MT)","2021",72962.9
1957,"SSB (MT)","2021",73214.9
1958,"SSB (MT)","2021",74003.2
1959,"SSB (MT)","2021",76205.1
1960,"SSB (MT)","2021",78746.6
1961,"SSB (MT)","2021",81279.2
1962,"SSB (MT)","2021",84605
1963,"SSB (MT)","2021",88139.9
1964,"SSB (MT)","2021",91854.2
1965,"SSB (MT)","2021",95449
1966,"SSB (MT)","2021",99285.2
1967,"SSB (MT)","2021",103099
1968,"SSB (MT)","2021",105801
1969,"SSB (MT)","2021",117917
1970,"SSB (MT)","2021",146379
1971,"SSB (MT)","2021",176229
1972,"SSB (MT)","2021",196299
1973,"SSB (MT)","2021",205308
1974,"SSB (MT)","2021",208275
1975,"SSB (MT)","2021",204892
1976,"SSB (MT)","2021",195746
1977,"SSB (MT)","2021",179811
1978,"SSB (MT)","2021",173568
1979,"SSB (MT)","2021",166961
1980,"SSB (MT)","2021",155984
1981,"SSB (MT)","2021",152668
1982,"SSB (MT)","2021",149051
1983,"SSB (MT)","2021",144988
1984,"SSB (MT)","2021",142381
1985,"SSB (MT)","2021",138846
1986,"SSB (MT)","2021",133034
1987,"SSB (MT)","2021",126423
1988,"SSB (MT)","2021",121081
1989,"SSB (MT)","2021",117897
1990,"SSB (MT)","2021",114731
1991,"SSB (MT)","2021",110981
1992,"SSB (MT)","2021",106863
1993,"SSB (MT)","2021",103876
1994,"SSB (MT)","2021",102757
1995,"SSB (MT)","2021",100679
1996,"SSB (MT)","2021",96752.6
1997,"SSB (MT)","2021",91619.2
1998,"SSB (MT)","2021",87304.8
1999,"SSB (MT)","2021",85897
2000,"SSB (MT)","2021",82606.6
2001,"SSB (MT)","2021",78017.1
2002,"SSB (MT)","2021",74104
